Nama_Negara,Jenis_Kelamin,Umur,Tahun,Tingkat Pengangguran (%),Kurs_2022,Kurs_2022_usd,Region
Angola,Total,"Age (Youth, adults): 25+",2022,9.757,460.567511631462,0.002171234346204129,Africa
Albania,Total,"Age (Youth, adults): 25+",2022,9.224,113.041666666667,0.008846295613711733,Europe
United Arab Emirates,Total,"Age (Youth, adults): 25+",2022,2.265,3.6725,0.27229407760381213,Asia
Argentina,Total,"Age (Youth, adults): 25+",2022,5.091,130.61655,0.007655997651139921,South America
Armenia,Total,"Age (Youth, adults): 25+",2022,6.771,435.6661796523,0.002295335389123131,Asia
Australia,Total,"Age (Youth, adults): 25+",2022,2.831,1.44166445896522,0.6936426807093292,Oceania
Austria,Total,"Age (Youth, adults): 25+",2022,4.323,0.949623753156941,1.0530486381322999,Europe
Azerbaijan,Total,"Age (Youth, adults): 25+",2022,4.6,1.7,0.5882352941176471,Asia
Belgium,Total,"Age (Youth, adults): 25+",2022,4.654,0.949623753156941,1.0530486381322999,Europe
Benin,Total,"Age (Youth, adults): 25+",2022,1.262,622.912348249567,0.0016053622998646266,Africa
Burkina Faso,Total,"Age (Youth, adults): 25+",2022,1.39,623.759700911182,0.0016031814792446674,Africa
Bangladesh,Total,"Age (Youth, adults): 25+",2022,2.771,91.7454544396961,0.010899722565081366,Asia
Bulgaria,Total,"Age (Youth, adults): 25+",2022,3.883,1.86014166666667,0.5375934628634906,Europe
Bosnia and Herzegovina,Total,"Age (Youth, adults): 25+",2022,11.097,1.85932587706093,0.5378293349957126,Europe
Belarus,Total,"Age (Youth, adults): 25+",2022,3.022,2.6261,0.38079281063173526,Europe
Brazil,Total,"Age (Youth, adults): 25+",2022,6.926,5.16397029102111,0.19364944870785897,South America
Barbados,Total,"Age (Youth, adults): 25+",2022,5.546,2.0,0.5,North America
Brunei Darussalam,Total,"Age (Youth, adults): 25+",2022,3.482,1.37895639652216,0.7251860918315337,Asia
Bhutan,Total,"Age (Youth, adults): 25+",2022,3.511,78.6044905829916,0.01272191948046769,Asia
